Nb,Sector,Type,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
374,78,ARC,17R7_943,LBARB_18R7_EH843.POSST,LBARB_18R7_TT843.POSST,QRLAA_17R7_CV943.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAA_17R7_TT943.POSST,QRLAA_17R7_TT961.POSST,2,38,0.39,4,53,QRLAA_17R7_QBS943.POSST,QRLAA_17R7_FT943.POSST
375,78,ARC,19R7_947,LQATH_18R7_EH847.POSST,LQATH_18R7_TT847.POSST,QRLAB_19R7_CV947.POSST,0,QRLAA_17R7_PT961.POSST,QRLAA_17R7_PT991.POSST,QRLAB_19R7_TT947.POSST,QRLAA_17R7_TT961.POSST,2,49,0.39,4,53,QRLAB_19R7_QBS947.POSST,QRLAB_19R7_FT947.POSST
376,78,ARC,19R7_943,LBARB_20R7_EH843.POSST,LBARB_20R7_TT843.POSST,QRLAB_19R7_CV943.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAB_19R7_TT943.POSST,QRLAA_21R7_TT961.POSST,2,38,0.39,4,53,QRLAB_19R7_QBS943.POSST,QRLAB_19R7_FT943.POSST
377,78,ARC,21R7_947,LQATH_20R7_EH847.POSST,LQATH_20R7_TT847.POSST,QRLAA_21R7_CV947.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAA_21R7_TT947.POSST,QRLAA_21R7_TT961.POSST,2,38,0.39,4,53,QRLAA_21R7_QBS947.POSST,QRLAA_21R7_FT947.POSST
378,78,ARC,21R7_943,LBARB_22R7_EH843.POSST,LBARB_22R7_TT843.POSST,QRLAA_21R7_CV943.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAA_21R7_TT943.POSST,QRLAA_21R7_TT961.POSST,2,38,0.39,4,53,QRLAA_21R7_QBS943.POSST,QRLAA_21R7_FT943.POSST
379,78,ARC,23R7_947,LQOAG_22R7_EH847.POSST,LQOAG_22R7_TT847.POSST,QRLAB_23R7_CV947.POSST,0,QRLAA_21R7_PT961.POSST,QRLAA_21R7_PT991.POSST,QRLAB_23R7_TT947.POSST,QRLAA_21R7_TT961.POSST,2,38,0.39,4,53,QRLAB_23R7_QBS947.POSST,QRLAB_23R7_FT947.POSST
380,78,ARC,23R7_943,LBARB_24R7_EH843.POSST,LBARB_24R7_TT843.POSST,QRLAB_23R7_CV943.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAB_23R7_TT943.POSST,QRLAA_25R7_TT961.POSST,2,38,0.39,4,53,QRLAB_23R7_QBS943.POSST,QRLAB_23R7_FT943.POSST
381,78,ARC,25R7_947,LQOAG_24R7_EH847.POSST,LQOAG_24R7_TT847.POSST,QRLAA_25R7_CV947.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAA_25R7_TT947.POSST,QRLAA_25R7_TT961.POSST,2,38,0.39,4,53,QRLAA_25R7_QBS947.POSST,QRLAA_25R7_FT947.POSST
382,78,ARC,25R7_943,LBARB_26R7_EH843.POSST,LBARB_26R7_TT843.POSST,QRLAA_25R7_CV943.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAA_25R7_TT943.POSST,QRLAA_25R7_TT961.POSST,2,38,0.39,4,53,QRLAA_25R7_QBS943.POSST,QRLAA_25R7_FT943.POSST
383,78,ARC,27R7_947,LQOAG_26R7_EH847.POSST,LQOAG_26R7_TT847.POSST,QRLAB_27R7_CV947.POSST,0,QRLAA_25R7_PT961.POSST,QRLAA_25R7_PT991.POSST,QRLAB_27R7_TT947.POSST,QRLAA_25R7_TT961.POSST,2,38,0.39,4,53,QRLAB_27R7_QBS947.POSST,QRLAB_27R7_FT947.POSST
384,78,ARC,27R7_943,LBARB_28R7_EH843.POSST,LBARB_28R7_TT843.POSST,QRLAB_27R7_CV943.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAB_27R7_TT943.POSST,QRLAA_29R7_TT961.POSST,2,38,0.39,4,53,QRLAB_27R7_QBS943.POSST,QRLAB_27R7_FT943.POSST
385,78,ARC,29R7_947,LQOAG_28R7_EH847.POSST,LQOAG_28R7_TT847.POSST,QRLAA_29R7_CV947.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAA_29R7_TT947.POSST,QRLAA_29R7_TT961.POSST,2,38,0.39,4,53,QRLAA_29R7_QBS947.POSST,QRLAA_29R7_FT947.POSST
386,78,ARC,29R7_943,LBARB_30R7_EH843.POSST,LBARB_30R7_TT843.POSST,QRLAA_29R7_CV943.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAA_29R7_TT943.POSST,QRLAA_29R7_TT961.POSST,2,38,0.39,4,53,QRLAA_29R7_QBS943.POSST,QRLAA_29R7_FT943.POSST
387,78,ARC,31R7_947,LQOAM_30R7_EH847.POSST,LQOAM_30R7_TT847.POSST,QRLAC_31R7_CV947.POSST,0,QRLAA_29R7_PT961.POSST,QRLAA_29R7_PT991.POSST,QRLAC_31R7_TT947.POSST,QRLAA_29R7_TT961.POSST,2,38,0.39,4,53,QRLAC_31R7_QBS947.POSST,QRLAC_31R7_FT947.POSST
388,78,ARC,31R7_943,LBARB_32R7_EH843.POSST,LBARB_32R7_TT843.POSST,QRLAC_31R7_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAC_31R7_TT943.POSST,QRLAA_33L8_TT961.POSST,2,38,0.39,4,53,QRLAC_31R7_QBS943.POSST,QRLAC_31R7_FT943.POSST
389,78,ARC,33R7_947,LQOAG_32R7_EH847.POSST,LQOAG_32R7_TT847.POSST,QRLAD_33R7_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAD_33R7_TT947.POSST,QRLAA_33L8_TT961.POSST,2,38,0.39,4,53,QRLAD_33R7_QBS947.POSST,QRLAD_33R7_FT947.POSST
390,78,ARC,33R7_943,LBARB_34R7_EH843.POSST,LBARB_34R7_TT843.POSST,QRLAD_33R7_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAD_33R7_TT943.POSST,QRLAA_33L8_TT961.POSST,2,38,0.39,4,53,QRLAD_33R7_QBS943.POSST,QRLAD_33R7_FT943.POSST
391,78,ARC,33L8_947,LQOAM_34R7_EH847.POSST,LQOAM_34R7_TT847.POSST,QRLAA_33L8_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAA_33L8_TT947.POSST,QRLAA_33L8_TT961.POSST,2,38,0.39,4,53,QRLAA_33L8_QBS947.POSST,QRLAA_33L8_FT947.POSST
392,78,ARC,33L8_943,LBARB_33L8_EH843.POSST,LBARB_33L8_TT843.POSST,QRLAA_33L8_CV943.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAA_33L8_TT943.POSST,QRLAA_33L8_TT961.POSST,2,38,0.39,4,53,QRLAA_33L8_QBS943.POSST,QRLAA_33L8_FT943.POSST
393,78,ARC,31L8_947,LQOAM_32L8_EH847.POSST,LQOAM_32L8_TT847.POSST,QRLAB_31L8_CV947.POSST,0,QRLAA_33L8_PT961.POSST,QRLAA_33L8_PT991.POSST,QRLAB_31L8_TT947.POSST,QRLAA_33L8_TT961.POSST,2,38,0.39,4,53,QRLAB_31L8_QBS947.POSST,QRLAB_31L8_FT947.POSST
394,78,ARC,31L8_943,LBARB_31L8_EH843.POSST,LBARB_31L8_TT843.POSST,QRLAB_31L8_CV943.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAB_31L8_TT943.POSST,QRLAA_29L8_TT961.POSST,2,38,0.39,4,53,QRLAB_31L8_QBS943.POSST,QRLAB_31L8_FT943.POSST
395,78,ARC,29L8_947,LQOAG_30L8_EH847.POSST,LQOAG_30L8_TT847.POSST,QRLAA_29L8_CV947.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAA_29L8_TT947.POSST,QRLAA_29L8_TT961.POSST,2,38,0.39,4,53,QRLAA_29L8_QBS947.POSST,QRLAA_29L8_FT947.POSST
396,78,ARC,29L8_943,LBARB_29L8_EH843.POSST,LBARB_29L8_TT843.POSST,QRLAA_29L8_CV943.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAA_29L8_TT943.POSST,QRLAA_29L8_TT961.POSST,2,38,0.39,4,53,QRLAA_29L8_QBS943.POSST,QRLAA_29L8_FT943.POSST
397,78,ARC,27L8_947,LQOAM_28L8_EH847.POSST,LQOAM_28L8_TT847.POSST,QRLAB_27L8_CV947.POSST,0,QRLAA_29L8_PT961.POSST,QRLAA_29L8_PT991.POSST,QRLAB_27L8_TT947.POSST,QRLAA_29L8_TT961.POSST,2,38,0.39,4,53,QRLAB_27L8_QBS947.POSST,QRLAB_27L8_FT947.POSST
398,78,ARC,27L8_943,LBARB_27L8_EH843.POSST,LBARB_27L8_TT843.POSST,QRLAB_27L8_CV943.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAB_27L8_TT943.POSST,QRLAF_25L8_TT961.POSST,2,38,0.39,4,53,QRLAB_27L8_QBS943.POSST,QRLAB_27L8_FT943.POSST
399,78,ARC,25L8_947,LQOAG_26L8_EH847.POSST,LQOAG_26L8_TT847.POSST,QRLAF_25L8_CV947.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAF_25L8_TT947.POSST,QRLAF_25L8_TT961.POSST,2,38,0.39,4,53,QRLAF_25L8_QBS947.POSST,QRLAF_25L8_FT947.POSST
400,78,ARC,25L8_943,LBARB_25L8_EH843.POSST,LBARB_25L8_TT843.POSST,QRLAF_25L8_CV943.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAF_25L8_TT943.POSST,QRLAF_25L8_TT961.POSST,2,38,0.39,4,53,QRLAF_25L8_QBS943.POSST,QRLAF_25L8_FT943.POSST
401,78,ARC,23L8_947,LQOAG_24L8_EH847.POSST,LQOAG_24L8_TT847.POSST,QRLAB_23L8_CV947.POSST,0,QRLAF_25L8_PT961.POSST,QRLAF_25L8_PT991.POSST,QRLAB_23L8_TT947.POSST,QRLAF_25L8_TT961.POSST,2,38,0.39,4,53,QRLAB_23L8_QBS947.POSST,QRLAB_23L8_FT947.POSST
