Nb,Sector,Type,Loop,QEH,T2,CV1,CV2,P1,P4,T3,T1,QS,R,Kvmax,nc,L,Qbs,MassFlow
424,81,LSS,04R8_947,LQYED_04R8_EH847.POSST,LQYED_04R8_TT847A.POSST,QRLFF_04R8_CV947.POSST,0,QRLFF_04R8_PT961.POSST,QRLFF_04R8_PT991.POSST,QRLFF_04R8_TT947.POSST,QRLFF_04R8_TT961.POSST,7,40,0.1,4,22.755,QRLFF_04R8_QBS947.POSST,QRLFF_04R8_FT947.POSST
425,81,LSS,05R8_947,LQYFC_05R8_EH847.POSST,LQYFC_05R8_TT847A.POSST,QRLEA_05R8_CV947.POSST,0,QRLEA_05R8_PT961.POSST,QRLEA_05R8_PT991.POSST,QRLEA_05R8_TT947.POSST,QRLEA_05R8_TT961.POSST,0,100,0.05,4,12.955,QRLEA_05R8_QBS947.POSST,QRLEA_05R8_FT947.POSST
426,81,LSS,06R8_947,LQNLF_06R8_EH847.POSST,LQNLF_06R8_TT847A.POSST,QRLDE_06R8_CV947.POSST,0,QRLDE_06R8_PT961.POSST,QRLDE_06R8_PT991.POSST,QRLDE_06R8_TT947.POSST,QRLDE_06R8_TT961.POSST,10,50,0.12,4,12,QRLDE_06R8_QBS947.POSST,QRLDE_06R8_FT947.POSST
427,81,LSS,07R8_947,LBBLF_08R8_EH843.POSST,LBBLF_08R8_TT843.POSST,QRLCA_07R8_CV943.POSST,QRLCA_07R8_CV947.POSST,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLCA_07R8_TT947.POSST,QRLBA_09R8_TT961.POSST,7,30,0.22,4,40,QRLCA_07R8_QBS943.POSST,QRLCA_07R8_FT943.POSST
428,81,ARC,09R8_947,LQNCB_08R8_EH847.POSST,LQNCB_08R8_TT847.POSST,QRLBA_09R8_CV947.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLBA_09R8_TT947.POSST,QRLBA_09R8_TT961.POSST,2,38,0.39,4,45,QRLBA_09R8_QBS947.POSST,QRLBA_09R8_FT947.POSST
429,81,ARC,09R8_943,LBBLF_10R8_EH843.POSST,LBBLF_10R8_TT843.POSST,QRLBA_09R8_CV943.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLBA_09R8_TT943.POSST,QRLBA_09R8_TT961.POSST,2,38,0.39,4,45,QRLBA_09R8_QBS943.POSST,QRLBA_09R8_FT943.POSST
430,81,ARC,11R8_947,LQNCB_10R8_EH847.POSST,LQNCB_10R8_TT847.POSST,QRLAB_11R8_CV947.POSST,0,QRLBA_09R8_PT961.POSST,QRLBA_09R8_PT991.POSST,QRLAB_11R8_TT947.POSST,QRLBA_09R8_TT961.POSST,2,48,0.39,4,45,QRLAB_11R8_QBS947.POSST,QRLAB_11R8_FT947.POSST
431,81,ARC,11R8_943,LBALB_12R8_EH843.POSST,LBALB_12R8_TT843.POSST,QRLAB_11R8_CV943.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAB_11R8_TT943.POSST,QRLAA_13R8_TT961.POSST,2,38,0.39,4,53,QRLAB_11R8_QBS943.POSST,QRLAB_11R8_FT943.POSST
432,81,ARC,13R8_947,LQATI_12R8_EH847.POSST,LQATI_12R8_TT847.POSST,QRLAA_13R8_CV947.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAA_13R8_TT947.POSST,QRLAA_13R8_TT961.POSST,2,38,0.39,4,53,QRLAA_13R8_QBS947.POSST,QRLAA_13R8_FT947.POSST
433,81,ARC,13R8_943,LBALB_14R8_EH843.POSST,LBALB_14R8_TT843.POSST,QRLAA_13R8_CV943.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAA_13R8_TT943.POSST,QRLAA_13R8_TT961.POSST,2,38,0.39,4,53,QRLAA_13R8_QBS943.POSST,QRLAA_13R8_FT943.POSST
434,81,ARC,15R8_947,LQATI_14R8_EH847.POSST,LQATI_14R8_TT847.POSST,QRLAB_15R8_CV947.POSST,0,QRLAA_13R8_PT961.POSST,QRLAA_13R8_PT991.POSST,QRLAB_15R8_TT947.POSST,QRLAA_13R8_TT961.POSST,2,38,0.39,4,53,QRLAB_15R8_QBS947.POSST,QRLAB_15R8_FT947.POSST
435,81,ARC,15R8_943,LBALB_16R8_EH843.POSST,LBALB_16R8_TT843.POSST,QRLAB_15R8_CV943.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAB_15R8_TT943.POSST,QRLAA_17R8_TT961.POSST,2,38,0.39,4,53,QRLAB_15R8_QBS943.POSST,QRLAB_15R8_FT943.POSST
436,81,ARC,17R8_947,LQATI_16R8_EH847.POSST,LQATI_16R8_TT847.POSST,QRLAA_17R8_CV947.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAA_17R8_TT947.POSST,QRLAA_17R8_TT961.POSST,2,38,0.39,4,53,QRLAA_17R8_QBS947.POSST,QRLAA_17R8_FT947.POSST
437,81,ARC,17R8_943,LBALB_18R8_EH843.POSST,LBALB_18R8_TT843.POSST,QRLAA_17R8_CV943.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAA_17R8_TT943.POSST,QRLAA_17R8_TT961.POSST,2,38,0.39,4,53,QRLAA_17R8_QBS943.POSST,QRLAA_17R8_FT943.POSST
438,81,ARC,19R8_947,LQATI_18R8_EH847.POSST,LQATI_18R8_TT847.POSST,QRLAB_19R8_CV947.POSST,0,QRLAA_17R8_PT961.POSST,QRLAA_17R8_PT991.POSST,QRLAB_19R8_TT947.POSST,QRLAA_17R8_TT961.POSST,2,38,0.39,4,53,QRLAB_19R8_QBS947.POSST,QRLAB_19R8_FT947.POSST
439,81,ARC,19R8_943,LBALB_20R8_EH843.POSST,LBALB_20R8_TT843.POSST,QRLAB_19R8_CV943.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAB_19R8_TT943.POSST,QRLAA_21R8_TT961.POSST,2,38,0.39,4,53,QRLAB_19R8_QBS943.POSST,QRLAB_19R8_FT943.POSST
440,81,ARC,21R8_947,LQATI_20R8_EH847.POSST,LQATI_20R8_TT847.POSST,QRLAA_21R8_CV947.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAA_21R8_TT947.POSST,QRLAA_21R8_TT961.POSST,2,38,0.39,4,53,QRLAA_21R8_QBS947.POSST,QRLAA_21R8_FT947.POSST
441,81,ARC,21R8_943,LBALB_22R8_EH843.POSST,LBALB_22R8_TT843.POSST,QRLAA_21R8_CV943.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAA_21R8_TT943.POSST,QRLAA_21R8_TT961.POSST,2,38,0.39,4,53,QRLAA_21R8_QBS943.POSST,QRLAA_21R8_FT943.POSST
442,81,ARC,23R8_947,LQOAH_22R8_EH847.POSST,LQOAH_22R8_TT847.POSST,QRLAB_23R8_CV947.POSST,0,QRLAA_21R8_PT961.POSST,QRLAA_21R8_PT991.POSST,QRLAB_23R8_TT947.POSST,QRLAA_21R8_TT961.POSST,2,38,0.39,4,53,QRLAB_23R8_QBS947.POSST,QRLAB_23R8_FT947.POSST
443,81,ARC,23R8_943,LBALB_24R8_EH843.POSST,LBALB_24R8_TT843.POSST,QRLAB_23R8_CV943.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAB_23R8_TT943.POSST,QRLAA_25R8_TT961.POSST,2,38,0.39,4,53,QRLAB_23R8_QBS943.POSST,QRLAB_23R8_FT943.POSST
444,81,ARC,25R8_947,LQOAH_24R8_EH847.POSST,LQOAH_24R8_TT847.POSST,QRLAA_25R8_CV947.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAA_25R8_TT947.POSST,QRLAA_25R8_TT961.POSST,2,41,0.39,4,53,QRLAA_25R8_QBS947.POSST,QRLAA_25R8_FT947.POSST
445,81,ARC,25R8_943,LBALB_26R8_EH843.POSST,LBALB_26R8_TT843.POSST,QRLAA_25R8_CV943.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAA_25R8_TT943.POSST,QRLAA_25R8_TT961.POSST,2,38,0.39,4,53,QRLAA_25R8_QBS943.POSST,QRLAA_25R8_FT943.POSST
446,81,ARC,27R8_947,LQOAH_26R8_EH847.POSST,LQOAH_26R8_TT847.POSST,QRLAB_27R8_CV947.POSST,0,QRLAA_25R8_PT961.POSST,QRLAA_25R8_PT991.POSST,QRLAB_27R8_TT947.POSST,QRLAA_25R8_TT961.POSST,2,38,0.39,4,53,QRLAB_27R8_QBS947.POSST,QRLAB_27R8_FT947.POSST
447,81,ARC,27R8_943,LBALB_28R8_EH843.POSST,LBALB_28R8_TT843.POSST,QRLAB_27R8_CV943.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAB_27R8_TT943.POSST,QRLAA_29R8_TT961.POSST,2,38,0.39,4,53,QRLAB_27R8_QBS943.POSST,QRLAB_27R8_FT943.POSST
448,81,ARC,29R8_947,LQOAH_28R8_EH847.POSST,LQOAH_28R8_TT847.POSST,QRLAA_29R8_CV947.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAA_29R8_TT947.POSST,QRLAA_29R8_TT961.POSST,2,38,0.39,4,53,QRLAA_29R8_QBS947.POSST,QRLAA_29R8_FT947.POSST
449,81,ARC,29R8_943,LBALB_30R8_EH843.POSST,LBALB_30R8_TT843.POSST,QRLAA_29R8_CV943.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAA_29R8_TT943.POSST,QRLAA_29R8_TT961.POSST,2,38,0.39,4,53,QRLAA_29R8_QBS943.POSST,QRLAA_29R8_FT943.POSST
450,81,ARC,31R8_947,LQOAN_30R8_EH847.POSST,LQOAN_30R8_TT847.POSST,QRLAC_31R8_CV947.POSST,0,QRLAA_29R8_PT961.POSST,QRLAA_29R8_PT991.POSST,QRLAC_31R8_TT947.POSST,QRLAA_29R8_TT961.POSST,2,38,0.39,4,53,QRLAC_31R8_QBS947.POSST,QRLAC_31R8_FT947.POSST
451,81,ARC,31R8_943,LBALB_32R8_EH843.POSST,LBALB_32R8_TT843.POSST,QRLAC_31R8_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAC_31R8_TT943.POSST,QRLAA_33L1_TT961.POSST,2,38,0.39,4,53,QRLAC_31R8_QBS943.POSST,QRLAC_31R8_FT943.POSST
452,81,ARC,33R8_947,LQOAH_32R8_EH847.POSST,LQOAH_32R8_TT847.POSST,QRLAD_33R8_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAD_33R8_TT947.POSST,QRLAA_33L1_TT961.POSST,2,38,0.39,4,53,QRLAD_33R8_QBS947.POSST,QRLAD_33R8_FT947.POSST
453,81,ARC,33R8_943,LBALB_34R8_EH843.POSST,LBALB_34R8_TT843.POSST,QRLAD_33R8_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAD_33R8_TT943.POSST,QRLAA_33L1_TT961.POSST,2,38,0.39,4,53,QRLAD_33R8_QBS943.POSST,QRLAD_33R8_FT943.POSST
454,81,ARC,33L1_947,LQOAN_34R8_EH847.POSST,LQOAN_34R8_TT847.POSST,QRLAA_33L1_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAA_33L1_TT947.POSST,QRLAA_33L1_TT961.POSST,2,38,0.39,4,53,QRLAA_33L1_QBS947.POSST,QRLAA_33L1_FT947.POSST
455,81,ARC,33L1_943,LBALB_33L1_EH843.POSST,LBALB_33L1_TT843.POSST,QRLAA_33L1_CV943.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAA_33L1_TT943.POSST,QRLAA_33L1_TT961.POSST,2,38,0.39,4,53,QRLAA_33L1_QBS943.POSST,QRLAA_33L1_FT943.POSST
456,81,ARC,31L1_947,LQOAN_32L1_EH847.POSST,LQOAN_32L1_TT847.POSST,QRLAB_31L1_CV947.POSST,0,QRLAA_33L1_PT961.POSST,QRLAA_33L1_PT991.POSST,QRLAB_31L1_TT947.POSST,QRLAA_33L1_TT961.POSST,2,38,0.39,4,53,QRLAB_31L1_QBS947.POSST,QRLAB_31L1_FT947.POSST
457,81,ARC,31L1_943,LBALB_31L1_EH843.POSST,LBALB_31L1_TT843.POSST,QRLAB_31L1_CV943.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAB_31L1_TT943.POSST,QRLAA_29L1_TT961.POSST,2,38,0.39,4,53,QRLAB_31L1_QBS943.POSST,QRLAB_31L1_FT943.POSST
458,81,ARC,29L1_947,LQOAH_30L1_EH847.POSST,LQOAH_30L1_TT847.POSST,QRLAA_29L1_CV947.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAA_29L1_TT947.POSST,QRLAA_29L1_TT961.POSST,2,38,0.39,4,53,QRLAA_29L1_QBS947.POSST,QRLAA_29L1_FT947.POSST
459,81,ARC,29L1_943,LBALB_29L1_EH843.POSST,LBALB_29L1_TT843.POSST,QRLAA_29L1_CV943.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAA_29L1_TT943.POSST,QRLAA_29L1_TT961.POSST,2,44,0.39,4,53,QRLAA_29L1_QBS943.POSST,QRLAA_29L1_FT943.POSST
460,81,ARC,27L1_947,LQOAN_28L1_EH847.POSST,LQOAN_28L1_TT847.POSST,QRLAB_27L1_CV947.POSST,0,QRLAA_29L1_PT961.POSST,QRLAA_29L1_PT991.POSST,QRLAB_27L1_TT947.POSST,QRLAA_29L1_TT961.POSST,2,38,0.39,4,53,QRLAB_27L1_QBS947.POSST,QRLAB_27L1_FT947.POSST
461,81,ARC,27L1_943,LBALB_27L1_EH843.POSST,LBALB_27L1_TT843.POSST,QRLAB_27L1_CV943.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAB_27L1_TT943.POSST,QRLAA_25L1_TT961.POSST,2,38,0.39,4,53,QRLAB_27L1_QBS943.POSST,QRLAB_27L1_FT943.POSST
462,81,ARC,25L1_947,LQOAH_26L1_EH847.POSST,LQOAH_26L1_TT847.POSST,QRLAA_25L1_CV947.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAA_25L1_TT947.POSST,QRLAA_25L1_TT961.POSST,2,38,0.39,4,53,QRLAA_25L1_QBS947.POSST,QRLAA_25L1_FT947.POSST
463,81,ARC,25L1_943,LBALB_25L1_EH843.POSST,LBALB_25L1_TT843.POSST,QRLAA_25L1_CV943.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAA_25L1_TT943.POSST,QRLAA_25L1_TT961.POSST,2,42,0.39,4,53,QRLAA_25L1_QBS943.POSST,QRLAA_25L1_FT943.POSST
464,81,ARC,23L1_947,LQOAH_24L1_EH847.POSST,LQOAH_24L1_TT847.POSST,QRLAB_23L1_CV947.POSST,0,QRLAA_25L1_PT961.POSST,QRLAA_25L1_PT991.POSST,QRLAB_23L1_TT947.POSST,QRLAA_25L1_TT961.POSST,2,38,0.39,4,53,QRLAB_23L1_QBS947.POSST,QRLAB_23L1_FT947.POSST
465,81,ARC,23L1_943,LBALB_23L1_EH843.POSST,LBALB_23L1_TT843.POSST,QRLAB_23L1_CV943.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAB_23L1_TT943.POSST,QRLAA_21L1_TT961.POSST,2,38,0.39,4,53,QRLAB_23L1_QBS943.POSST,QRLAB_23L1_FT943.POSST
466,81,ARC,21L1_947,LQOAH_22L1_EH847.POSST,LQOAH_22L1_TT847.POSST,QRLAA_21L1_CV947.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAA_21L1_TT947.POSST,QRLAA_21L1_TT961.POSST,2,60,0.39,4,53,QRLAA_21L1_QBS947.POSST,QRLAA_21L1_FT947.POSST
467,81,ARC,21L1_943,LBALB_21L1_EH843.POSST,LBALB_21L1_TT843.POSST,QRLAA_21L1_CV943.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAA_21L1_TT943.POSST,QRLAA_21L1_TT961.POSST,2,38,0.39,4,53,QRLAA_21L1_QBS943.POSST,QRLAA_21L1_FT943.POSST
468,81,ARC,19L1_947,LQATI_20L1_EH847.POSST,LQATI_20L1_TT847.POSST,QRLAB_19L1_CV947.POSST,0,QRLAA_21L1_PT961.POSST,QRLAA_21L1_PT991.POSST,QRLAB_19L1_TT947.POSST,QRLAA_21L1_TT961.POSST,2,38,0.39,4,53,QRLAB_19L1_QBS947.POSST,QRLAB_19L1_FT947.POSST
469,81,ARC,19L1_943,LBALB_19L1_EH843.POSST,LBALB_19L1_TT843.POSST,QRLAB_19L1_CV943.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAB_19L1_TT943.POSST,QRLAA_17L1_TT961.POSST,2,38,0.39,4,53,QRLAB_19L1_QBS943.POSST,QRLAB_19L1_FT943.POSST
470,81,ARC,17L1_947,LQATI_18L1_EH847.POSST,LQATI_18L1_TT847.POSST,QRLAA_17L1_CV947.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAA_17L1_TT947.POSST,QRLAA_17L1_TT961.POSST,2,38,0.39,4,53,QRLAA_17L1_QBS947.POSST,QRLAA_17L1_FT947.POSST
471,81,ARC,17L1_943,LBALB_17L1_EH843.POSST,LBALB_17L1_TT843.POSST,QRLAA_17L1_CV943.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAA_17L1_TT943.POSST,QRLAA_17L1_TT961.POSST,2,38,0.39,4,53,QRLAA_17L1_QBS943.POSST,QRLAA_17L1_FT943.POSST
472,81,ARC,15L1_947,LQATI_16L1_EH847.POSST,LQATI_16L1_TT847.POSST,QRLAB_15L1_CV947.POSST,0,QRLAA_17L1_PT961.POSST,QRLAA_17L1_PT991.POSST,QRLAB_15L1_TT947.POSST,QRLAA_17L1_TT961.POSST,2,38,0.39,4,53,QRLAB_15L1_QBS947.POSST,QRLAB_15L1_FT947.POSST
473,81,ARC,15L1_943,LBALB_15L1_EH843.POSST,LBALB_15L1_TT843.POSST,QRLAB_15L1_CV943.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAB_15L1_TT943.POSST,QRLAA_13L1_TT961.POSST,2,38,0.39,4,53,QRLAB_15L1_QBS943.POSST,QRLAB_15L1_FT943.POSST
474,81,ARC,13L1_947,LQATI_14L1_EH847.POSST,LQATI_14L1_TT847.POSST,QRLAA_13L1_CV947.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAA_13L1_TT947.POSST,QRLAA_13L1_TT961.POSST,2,30,0.39,4,53,QRLAA_13L1_QBS947.POSST,QRLAA_13L1_FT947.POSST
475,81,ARC,13L1_943,LBALB_13L1_EH843.POSST,LBALB_13L1_TT843.POSST,QRLAA_13L1_CV943.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAA_13L1_TT943.POSST,QRLAA_13L1_TT961.POSST,2,38,0.39,4,53,QRLAA_13L1_QBS943.POSST,QRLAA_13L1_FT943.POSST
476,81,ARC,11L1_947,LQATI_12L1_EH847.POSST,LQATI_12L1_TT847.POSST,QRLAB_11L1_CV947.POSST,0,QRLAA_13L1_PT961.POSST,QRLAA_13L1_PT991.POSST,QRLAB_11L1_TT947.POSST,QRLAA_13L1_TT961.POSST,2,38,0.39,4,53,QRLAB_11L1_QBS947.POSST,QRLAB_11L1_FT947.POSST
477,81,ARC,11L1_943,LBBLP_11L1_EH843.POSST,LBBLP_11L1_TT843.POSST,QRLAB_11L1_CV943.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLAB_11L1_TT943.POSST,QRLAA_13L1_TT961.POSST,2,38,0.39,4,45,QRLAB_11L1_QBS943.POSST,QRLAB_11L1_FT943.POSST
478,81,ARC,09L1_947,LQNCB_10L1_EH847.POSST,LQNCB_10L1_TT847.POSST,QRLBA_09L1_CV947.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLBA_09L1_TT947.POSST,QRLAA_13L1_TT961.POSST,2,38,0.39,4,45,QRLBA_09L1_QBS947.POSST,QRLBA_09L1_FT947.POSST
479,81,ARC,09L1_943,LBBLF_09L1_EH843.POSST,LBBLF_09L1_TT843.POSST,QRLBA_09L1_CV943.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLBA_09L1_TT943.POSST,QRLAA_13L1_TT961.POSST,2,38,0.39,4,45,QRLBA_09L1_QBS943.POSST,QRLBA_09L1_FT943.POSST
480,81,LSS,07L1_947,LQNCB_08L1_EH847.POSST,LQNCB_08L1_TT847.POSST,QRLCF_07L1_CV947.POSST,QRLCF_07L1_CV943.POSST,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLCF_07L1_TT947.POSST,QRLAA_13L1_TT961.POSST,7,50,0.22,4,40,QRLCF_07L1_QBS947.POSST,QRLCF_07L1_FT947.POSST
481,81,LSS,07L1_945,LQNFJ_07L1_EH845.POSST,LQNFJ_07L1_TT845.POSST,QRLCF_07L1_CV945.POSST,0,QRLBA_09L1_PT961.POSST,QRLBA_09L1_PT991.POSST,QRLCF_07L1_TT945.POSST,QRLAA_13L1_TT961.POSST,0,40,0.22,4,13.5,QRLCF_07L1_QBS945.POSST,QRLCF_07L1_FT945.POSST
482,81,LSS,06L1_947,LQNDD_06L1_EH847.POSST,LQNDD_06L1_TT847A.POSST,QRLEC_06L1_CV947.POSST,0,QRLEC_06L1_PT961.POSST,QRLEC_06L1_PT991.POSST,QRLEC_06L1_TT947.POSST,QRLEC_06L1_TT961.POSST,4.3,60,0.05,4,8.22,QRLEC_06L1_QBS947.POSST,QRLEC_06L1_FT947.POSST
483,81,LSS,05L1_947,LQNDC_05L1_EH847.POSST,LQNDC_05L1_TT847A.POSST,QRLEC_05L1_CV947.POSST,0,QRLEC_05L1_PT961.POSST,QRLEC_05L1_PT991.POSST,QRLEC_05L1_TT947.POSST,QRLEC_05L1_TT961.POSST,0,50,0.08,4,8.22,QRLEC_05L1_QBS947.POSST,QRLEC_05L1_FT947.POSST
484,81,LSS,04L1_947,LQYCF_04L1_EH847.POSST,LQYCF_04L1_TT847A.POSST,QRLFD_04L1_CV947.POSST,0,QRLFD_04L1_PT961.POSST,QRLFD_04L1_PT991.POSST,QRLFD_04L1_TT947.POSST,QRLFD_04L1_TT961.POSST,10,40,0.1,4,19.42,QRLFD_04L1_QBS947.POSST,QRLFD_04L1_FT947.POSST
485,81,LSS,03L1_947,LQXAB_01L1_EH847.POSST,LQXAB_01L1_TT847A.POSST,QRLGA_03L1_CV947.POSST,0,QRLGA_03L1_PT961.POSST,QRLGA_03L1_PT991.POSST,QRLGA_03L1_TT947.POSST,QRLGA_03L1_TT961.POSST,4.5,26,0.26,2,35,QRLGA_03L1_QBS947.POSST,QRLGA_03L1_FT947.POSST
