Cell_list	Type_list	Sector_list	EH84x_list	TT84x_list	CV94x_list	PT961_list	PT991_list	TT94x_list	TT961_list	R_list	Qs_list	Kv_list	nc_list	L_list
19R5_947	ARC	56	LQATH_18R5_EH847.POSST	LQATH_18R5_TT847.POSST	QRLAB_19R5_CV947.POSST	QRLAA_17R5_PT961.POSST	QRLAA_17R5_PT991.POSST	QRLAB_19R5_TT947.POSST	QRLAA_17R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19R5_943	ARC	56	LBARB_20R5_EH843.POSST	LBARB_20R5_TT843.POSST	QRLAB_19R5_CV943.POSST	QRLAA_21R5_PT961.POSST	QRLAA_21R5_PT991.POSST	QRLAB_19R5_TT943.POSST	QRLAA_21R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21R5_947	ARC	56	LQATH_20R5_EH847.POSST	LQATH_20R5_TT847.POSST	QRLAA_21R5_CV947.POSST	QRLAA_21R5_PT961.POSST	QRLAA_21R5_PT991.POSST	QRLAA_21R5_TT947.POSST	QRLAA_21R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21R5_943	ARC	56	LBARB_22R5_EH843.POSST	LBARB_22R5_TT843.POSST	QRLAA_21R5_CV943.POSST	QRLAA_21R5_PT961.POSST	QRLAA_21R5_PT991.POSST	QRLAA_21R5_TT943.POSST	QRLAA_21R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23R5_947	ARC	56	LQOAG_22R5_EH847.POSST	LQOAG_22R5_TT847.POSST	QRLAB_23R5_CV947.POSST	QRLAA_21R5_PT961.POSST	QRLAA_21R5_PT991.POSST	QRLAB_23R5_TT947.POSST	QRLAA_21R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23R5_943	ARC	56	LBARB_24R5_EH843.POSST	LBARB_24R5_TT843.POSST	QRLAB_23R5_CV943.POSST	QRLAA_25R5_PT961.POSST	QRLAA_25R5_PT991.POSST	QRLAB_23R5_TT943.POSST	QRLAA_25R5_TT961.POSST	3.300000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25R5_947	ARC	56	LQOAG_24R5_EH847.POSST	LQOAG_24R5_TT847.POSST	QRLAA_25R5_CV947.POSST	QRLAA_25R5_PT961.POSST	QRLAA_25R5_PT991.POSST	QRLAA_25R5_TT947.POSST	QRLAA_25R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25R5_943	ARC	56	LBARB_26R5_EH843.POSST	LBARB_26R5_TT843.POSST	QRLAA_25R5_CV943.POSST	QRLAA_25R5_PT961.POSST	QRLAA_25R5_PT991.POSST	QRLAA_25R5_TT943.POSST	QRLAA_25R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27R5_947	ARC	56	LQOAG_26R5_EH847.POSST	LQOAG_26R5_TT847.POSST	QRLAB_27R5_CV947.POSST	QRLAA_25R5_PT961.POSST	QRLAA_25R5_PT991.POSST	QRLAB_27R5_TT947.POSST	QRLAA_25R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27R5_943	ARC	56	LBARB_28R5_EH843.POSST	LBARB_28R5_TT843.POSST	QRLAB_27R5_CV943.POSST	QRLAA_29R5_PT961.POSST	QRLAA_29R5_PT991.POSST	QRLAB_27R5_TT943.POSST	QRLAA_29R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29R5_947	ARC	56	LQOAG_28R5_EH847.POSST	LQOAG_28R5_TT847.POSST	QRLAA_29R5_CV947.POSST	QRLAA_29R5_PT961.POSST	QRLAA_29R5_PT991.POSST	QRLAA_29R5_TT947.POSST	QRLAA_29R5_TT961.POSST	4.000000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29R5_943	ARC	56	LBARB_30R5_EH843.POSST	LBARB_30R5_TT843.POSST	QRLAA_29R5_CV943.POSST	QRLAA_29R5_PT961.POSST	QRLAA_29R5_PT991.POSST	QRLAA_29R5_TT943.POSST	QRLAA_29R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31R5_947	ARC	56	LQOAM_30R5_EH847.POSST	LQOAM_30R5_TT847.POSST	QRLAC_31R5_CV947.POSST	QRLAA_29R5_PT961.POSST	QRLAA_29R5_PT991.POSST	QRLAC_31R5_TT947.POSST	QRLAA_29R5_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31R5_943	ARC	56	LBARB_32R5_EH843.POSST	LBARB_32R5_TT843.POSST	QRLAC_31R5_CV943.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAC_31R5_TT943.POSST	QRLAA_33L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33R5_947	ARC	56	LQOAG_32R5_EH847.POSST	LQOAG_32R5_TT847.POSST	QRLAD_33R5_CV947.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAD_33R5_TT947.POSST	QRLAA_33L6_TT961.POSST	3.300000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33R5_943	ARC	56	LBARB_34R5_EH843.POSST	LBARB_34R5_TT843.POSST	QRLAD_33R5_CV943.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAD_33R5_TT943.POSST	QRLAA_33L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33L6_947	ARC	56	LQOAM_34R5_EH847.POSST	LQOAM_34R5_TT847.POSST	QRLAA_33L6_CV947.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAA_33L6_TT947.POSST	QRLAA_33L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33L6_943	ARC	56	LBARB_33L6_EH843.POSST	LBARB_33L6_TT843.POSST	QRLAA_33L6_CV943.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAA_33L6_TT943.POSST	QRLAA_33L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31L6_947	ARC	56	LQOAM_32L6_EH847.POSST	LQOAM_32L6_TT847.POSST	QRLAB_31L6_CV947.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAB_31L6_TT947.POSST	QRLAA_33L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31L6_943	ARC	56	LBARB_31L6_EH843.POSST	LBARB_31L6_TT843.POSST	QRLAB_31L6_CV943.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAB_31L6_TT943.POSST	QRLAA_33L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29L6_947	ARC	56	LQOAG_30L6_EH847.POSST	LQOAG_30L6_TT847.POSST	QRLAA_29L6_CV947.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAA_29L6_TT947.POSST	QRLAA_33L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29L6_943	ARC	56	LBARB_29L6_EH843.POSST	LBARB_29L6_TT843.POSST	QRLAA_29L6_CV943.POSST	QRLAA_33L6_PT961.POSST	QRLAA_33L6_PT991.POSST	QRLAA_29L6_TT943.POSST	QRLAA_33L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27L6_947	ARC	56	LQOAM_28L6_EH847.POSST	LQOAM_28L6_TT847.POSST	QRLAB_27L6_CV947.POSST	QRLAA_25L6_PT961.POSST	QRLAA_25L6_PT991.POSST	QRLAB_27L6_TT947.POSST	QRLAA_25L6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
