Cell_list	Type_list	Sector_list	EH84x_list	TT84x_list	CV94x_list	PT961_list	PT991_list	TT94x_list	TT961_list	R_list	Qs_list	Kv_list	nc_list	L_list
19R6_943	ARC	67	LBARB_20R6_EH843.POSST	LBARB_20R6_TT843.POSST	QRLAB_19R6_CV943.POSST	QRLAA_21R6_PT961.POSST	QRLAA_21R6_PT991.POSST	QRLAB_19R6_TT943.POSST	QRLAA_21R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21R6_947	ARC	67	LQATT_20R6_EH847.POSST	LQATT_20R6_TT847.POSST	QRLAA_21R6_CV947.POSST	QRLAA_21R6_PT961.POSST	QRLAA_21R6_PT991.POSST	QRLAA_21R6_TT947.POSST	QRLAA_21R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21R6_943	ARC	67	LBARB_22R6_EH843.POSST	LBARB_22R6_TT843.POSST	QRLAA_21R6_CV943.POSST	QRLAA_21R6_PT961.POSST	QRLAA_21R6_PT991.POSST	QRLAA_21R6_TT943.POSST	QRLAA_21R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23R6_947	ARC	67	LQOBB_22R6_EH847.POSST	LQOBB_22R6_TT847.POSST	QRLAB_23R6_CV947.POSST	QRLAA_21R6_PT961.POSST	QRLAA_21R6_PT991.POSST	QRLAB_23R6_TT947.POSST	QRLAA_21R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23R6_943	ARC	67	LBARB_24R6_EH843.POSST	LBARB_24R6_TT843.POSST	QRLAB_23R6_CV943.POSST	QRLAA_25R6_PT961.POSST	QRLAA_25R6_PT991.POSST	QRLAB_23R6_TT943.POSST	QRLAA_25R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25R6_947	ARC	67	LQOBB_24R6_EH847.POSST	LQOBB_24R6_TT847.POSST	QRLAA_25R6_CV947.POSST	QRLAA_25R6_PT961.POSST	QRLAA_25R6_PT991.POSST	QRLAA_25R6_TT947.POSST	QRLAA_25R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25R6_943	ARC	67	LBARB_26R6_EH843.POSST	LBARB_26R6_TT843.POSST	QRLAA_25R6_CV943.POSST	QRLAA_25R6_PT961.POSST	QRLAA_25R6_PT991.POSST	QRLAA_25R6_TT943.POSST	QRLAA_25R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27R6_947	ARC	67	LQOBB_26R6_EH847.POSST	LQOBB_26R6_TT847.POSST	QRLAB_27R6_CV947.POSST	QRLAA_25R6_PT961.POSST	QRLAA_25R6_PT991.POSST	QRLAB_27R6_TT947.POSST	QRLAA_25R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27R6_943	ARC	67	LBARB_28R6_EH843.POSST	LBARB_28R6_TT843.POSST	QRLAB_27R6_CV943.POSST	QRLAA_29R6_PT961.POSST	QRLAA_29R6_PT991.POSST	QRLAB_27R6_TT943.POSST	QRLAA_29R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29R6_947	ARC	67	LQOBB_28R6_EH847.POSST	LQOBB_28R6_TT847.POSST	QRLAA_29R6_CV947.POSST	QRLAA_29R6_PT961.POSST	QRLAA_29R6_PT991.POSST	QRLAA_29R6_TT947.POSST	QRLAA_29R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29R6_943	ARC	67	LBARB_30R6_EH843.POSST	LBARB_30R6_TT843.POSST	QRLAA_29R6_CV943.POSST	QRLAA_29R6_PT961.POSST	QRLAA_29R6_PT991.POSST	QRLAA_29R6_TT943.POSST	QRLAA_29R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31R6_947	ARC	67	LQOBL_30R6_EH847.POSST	LQOBL_30R6_TT847.POSST	QRLAC_31R6_CV947.POSST	QRLAA_29R6_PT961.POSST	QRLAA_29R6_PT991.POSST	QRLAC_31R6_TT947.POSST	QRLAA_29R6_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31R6_943	ARC	67	LBARB_32R6_EH843.POSST	LBARB_32R6_TT843.POSST	QRLAC_31R6_CV943.POSST	QRLAA_33L7_PT961.POSST	QRLAA_33L7_PT991.POSST	QRLAC_31R6_TT943.POSST	QRLAA_33L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33R6_947	ARC	67	LQOBB_32R6_EH847.POSST	LQOBB_32R6_TT847.POSST	QRLAD_33R6_CV947.POSST	QRLAA_33L7_PT961.POSST	QRLAA_33L7_PT991.POSST	QRLAD_33R6_TT947.POSST	QRLAA_33L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33R6_943	ARC	67	LBARB_34R6_EH843.POSST	LBARB_34R6_TT843.POSST	QRLAD_33R6_CV943.POSST	QRLAA_33L7_PT961.POSST	QRLAA_33L7_PT991.POSST	QRLAD_33R6_TT943.POSST	QRLAA_33L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33L7_947	ARC	67	LQOBL_34R6_EH847.POSST	LQOBL_34R6_TT847.POSST	QRLAA_33L7_CV947.POSST	QRLAA_33L7_PT961.POSST	QRLAA_33L7_PT991.POSST	QRLAA_33L7_TT947.POSST	QRLAA_33L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33L7_943	ARC	67	LBARB_33L7_EH843.POSST	LBARB_33L7_TT843.POSST	QRLAA_33L7_CV943.POSST	QRLAA_33L7_PT961.POSST	QRLAA_33L7_PT991.POSST	QRLAA_33L7_TT943.POSST	QRLAA_33L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31L7_947	ARC	67	LQOBL_32L7_EH847.POSST	LQOBL_32L7_TT847.POSST	QRLAB_31L7_CV947.POSST	QRLAA_33L7_PT961.POSST	QRLAA_33L7_PT991.POSST	QRLAB_31L7_TT947.POSST	QRLAA_33L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31L7_943	ARC	67	LBARB_31L7_EH843.POSST	LBARB_31L7_TT843.POSST	QRLAB_31L7_CV943.POSST	QRLAA_29L7_PT961.POSST	QRLAA_29L7_PT991.POSST	QRLAB_31L7_TT943.POSST	QRLAA_29L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29L7_947	ARC	67	LQOBB_30L7_EH847.POSST	LQOBB_30L7_TT847.POSST	QRLAA_29L7_CV947.POSST	QRLAA_29L7_PT961.POSST	QRLAA_29L7_PT991.POSST	QRLAA_29L7_TT947.POSST	QRLAA_29L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29L7_943	ARC	67	LBARB_29L7_EH843.POSST	LBARB_29L7_TT843.POSST	QRLAA_29L7_CV943.POSST	QRLAA_29L7_PT961.POSST	QRLAA_29L7_PT991.POSST	QRLAA_29L7_TT943.POSST	QRLAA_29L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27L7_947	ARC	67	LQOBL_28L7_EH847.POSST	LQOBL_28L7_TT847.POSST	QRLAB_27L7_CV947.POSST	QRLAA_29L7_PT961.POSST	QRLAA_29L7_PT991.POSST	QRLAB_27L7_TT947.POSST	QRLAA_29L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27L7_943	ARC	67	LBARB_27L7_EH843.POSST	LBARB_27L7_TT843.POSST	QRLAB_27L7_CV943.POSST	QRLAA_25L7_PT961.POSST	QRLAA_25L7_PT991.POSST	QRLAB_27L7_TT943.POSST	QRLAA_25L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25L7_947	ARC	67	LQOBB_26L7_EH847.POSST	LQOBB_26L7_TT847.POSST	QRLAA_25L7_CV947.POSST	QRLAA_25L7_PT961.POSST	QRLAA_25L7_PT991.POSST	QRLAA_25L7_TT947.POSST	QRLAA_25L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25L7_943	ARC	67	LBARB_25L7_EH843.POSST	LBARB_25L7_TT843.POSST	QRLAA_25L7_CV943.POSST	QRLAA_25L7_PT961.POSST	QRLAA_25L7_PT991.POSST	QRLAA_25L7_TT943.POSST	QRLAA_25L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23L7_947	ARC	67	LQOBB_24L7_EH847.POSST	LQOBB_24L7_TT847.POSST	QRLAB_23L7_CV947.POSST	QRLAA_25L7_PT961.POSST	QRLAA_25L7_PT991.POSST	QRLAB_23L7_TT947.POSST	QRLAA_25L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23L7_943	ARC	67	LBARB_23L7_EH843.POSST	LBARB_23L7_TT843.POSST	QRLAB_23L7_CV943.POSST	QRLAA_21L7_PT961.POSST	QRLAA_21L7_PT991.POSST	QRLAB_23L7_TT943.POSST	QRLAA_21L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21L7_947	ARC	67	LQOBB_22L7_EH847.POSST	LQOBB_22L7_TT847.POSST	QRLAA_21L7_CV947.POSST	QRLAA_21L7_PT961.POSST	QRLAA_21L7_PT991.POSST	QRLAA_21L7_TT947.POSST	QRLAA_21L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21L7_943	ARC	67	LBARB_21L7_EH843.POSST	LBARB_21L7_TT843.POSST	QRLAA_21L7_CV943.POSST	QRLAA_21L7_PT961.POSST	QRLAA_21L7_PT991.POSST	QRLAA_21L7_TT943.POSST	QRLAA_21L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19L7_947	ARC	67	LQATT_20L7_EH847.POSST	LQATT_20L7_TT847.POSST	QRLAB_19L7_CV947.POSST	QRLAA_21L7_PT961.POSST	QRLAA_21L7_PT991.POSST	QRLAB_19L7_TT947.POSST	QRLAA_21L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19L7_943	ARC	67	LBARB_19L7_EH843.POSST	LBARB_19L7_TT843.POSST	QRLAB_19L7_CV943.POSST	QRLAA_17L7_PT961.POSST	QRLAA_17L7_PT991.POSST	QRLAB_19L7_TT943.POSST	QRLAA_17L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17L7_947	ARC	67	LQATT_18L7_EH847.POSST	LQATT_18L7_TT847.POSST	QRLAA_17L7_CV947.POSST	QRLAA_17L7_PT961.POSST	QRLAA_17L7_PT991.POSST	QRLAA_17L7_TT947.POSST	QRLAA_17L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17L7_943	ARC	67	LBARB_17L7_EH843.POSST	LBARB_17L7_TT843.POSST	QRLAA_17L7_CV943.POSST	QRLAA_17L7_PT961.POSST	QRLAA_17L7_PT991.POSST	QRLAA_17L7_TT943.POSST	QRLAA_17L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15L7_947	ARC	67	LQATT_16L7_EH847.POSST	LQATT_16L7_TT847.POSST	QRLAB_15L7_CV947.POSST	QRLAA_17L7_PT961.POSST	QRLAA_17L7_PT991.POSST	QRLAB_15L7_TT947.POSST	QRLAA_17L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15L7_943	ARC	67	LBARB_15L7_EH843.POSST	LBARB_15L7_TT843.POSST	QRLAB_15L7_CV943.POSST	QRLAA_13L7_PT961.POSST	QRLAA_13L7_PT991.POSST	QRLAB_15L7_TT943.POSST	QRLAA_13L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13L7_947	ARC	67	LQATT_14L7_EH847.POSST	LQATT_14L7_TT847.POSST	QRLAA_13L7_CV947.POSST	QRLAA_13L7_PT961.POSST	QRLAA_13L7_PT991.POSST	QRLAA_13L7_TT947.POSST	QRLAA_13L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13L7_943	ARC	67	LBARB_13L7_EH843.POSST	LBARB_13L7_TT843.POSST	QRLAA_13L7_CV943.POSST	QRLAA_13L7_PT961.POSST	QRLAA_13L7_PT991.POSST	QRLAA_13L7_TT943.POSST	QRLAA_13L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
11L7_947	ARC	67	LQATT_12L7_EH847.POSST	LQATT_12L7_TT847.POSST	QRLAB_11L7_CV947.POSST	QRLAA_13L7_PT961.POSST	QRLAA_13L7_PT991.POSST	QRLAB_11L7_TT947.POSST	QRLAA_13L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
11L7_943	ARC	67	LBBRB_11L7_EH843.POSST	LBBRB_11L7_TT843.POSST	QRLAB_11L7_CV943.POSST	QRLBA_09L7_PT961.POSST	QRLBA_09L7_PT991.POSST	QRLAB_11L7_TT943.POSST	QRLBA_09L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
09L7_947	ARC	67	LQTCO_10L7_EH847.POSST	LQTCO_10L7_TT847.POSST	QRLBA_09L7_CV947.POSST	QRLBA_09L7_PT961.POSST	QRLBA_09L7_PT991.POSST	QRLBA_09L7_TT947.POSST	QRLBA_09L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
09L7_943	ARC	67	LBBRB_09L7_EH843.POSST	LBBRB_09L7_TT843.POSST	QRLBA_09L7_CV943.POSST	QRLBA_09L7_PT961.POSST	QRLBA_09L7_PT991.POSST	QRLBA_09L7_TT943.POSST	QRLBA_09L7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
07L7_947	LSS	67	LQTCO_08L7_EH847.POSST	LQTCO_08L7_TT847.POSST	QRLCC_07L7_CV947.POSST	QRLBA_09L7_PT961.POSST	QRLBA_09L7_PT991.POSST	QRLCC_07L7_TT947.POSST	QRLBA_09L7_TT961.POSST	5.000000e+01	2.000000e+00	2.200000e-01	4.000000e+00	4.000000e+01
07L7_945	LSS	67	LQTAD_07L7_EH845.POSST	LQTAD_07L7_TT845.POSST	QRLCC_07L7_CV945.POSST	QRLBA_09L7_PT961.POSST	QRLBA_09L7_PT991.POSST	QRLCC_07L7_TT945.POSST	QRLBA_09L7_TT961.POSST	5.000000e+01	2.000000e+00	2.200000e-01	4.000000e+00	1.350000e+01
06L7_947	LSS	67	LQTFA_06L7_EH847.POSST	LQTFA_06L7_TT847A.POSST	QRLEA_06L7_CV947.POSST	QRLEA_06L7_PT961.POSST	QRLEA_06L7_PT991.POSST	QRLEA_06L7_TT947.POSST	QRLEA_06L7_TT961.POSST	1.000000e+02	5.000000e+00	5.000000e-02	4.000000e+00	1.200000e+01
06R7_947	LSS	78	LQTFB_06R7_EH847.POSST	LQTFB_06R7_TT847A.POSST	QRLEA_06R7_CV947.POSST	QRLEA_06R7_PT961.POSST	QRLEA_06R7_PT991.POSST	QRLEA_06R7_TT947.POSST	QRLEA_06R7_TT961.POSST	4.000000e+01	5.200000e+00	5.000000e-02	4.000000e+00	1.200000e+01
07R7_943	LSS	78	LBBRB_08R7_EH843.POSST	LBBRB_08R7_TT843.POSST	QRLCH_07R7_CV943.POSST	QRLBA_09R7_PT961.POSST	QRLBA_09R7_PT991.POSST	QRLCH_07R7_TT943.POSST	QRLBA_09R7_TT961.POSST	5.000000e+01	7.000000e+00	2.600000e-01	4.000000e+00	4.000000e+01
09R7_947	ARC	78	LQTBB_08R7_EH847.POSST	LQTBB_08R7_TT847.POSST	QRLBA_09R7_CV947.POSST	QRLBA_09R7_PT961.POSST	QRLBA_09R7_PT991.POSST	QRLBA_09R7_TT947.POSST	QRLBA_09R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
09R7_943	ARC	78	LBBRB_10R7_EH843.POSST	LBBRB_10R7_TT843.POSST	QRLBA_09R7_CV943.POSST	QRLBA_09R7_PT961.POSST	QRLBA_09R7_PT991.POSST	QRLBA_09R7_TT943.POSST	QRLBA_09R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
11R7_947	ARC	78	LQTBB_10R7_EH847.POSST	LQTBB_10R7_TT847.POSST	QRLAB_11R7_CV947.POSST	QRLBA_09R7_PT961.POSST	QRLBA_09R7_PT991.POSST	QRLAB_11R7_TT947.POSST	QRLBA_09R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	4.500000e+01
11R7_943	ARC	78	LBARB_12R7_EH843.POSST	LBARB_12R7_TT843.POSST	QRLAB_11R7_CV943.POSST	QRLAA_13R7_PT961.POSST	QRLAA_13R7_PT991.POSST	QRLAB_11R7_TT943.POSST	QRLAA_13R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13R7_947	ARC	78	LQATH_12R7_EH847.POSST	LQATH_12R7_TT847.POSST	QRLAA_13R7_CV947.POSST	QRLAA_13R7_PT961.POSST	QRLAA_13R7_PT991.POSST	QRLAA_13R7_TT947.POSST	QRLAA_13R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
13R7_943	ARC	78	LBARB_14R7_EH843.POSST	LBARB_14R7_TT843.POSST	QRLAA_13R7_CV943.POSST	QRLAA_13R7_PT961.POSST	QRLAA_13R7_PT991.POSST	QRLAA_13R7_TT943.POSST	QRLAA_13R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15R7_947	ARC	78	LQATH_14R7_EH847.POSST	LQATH_14R7_TT847.POSST	QRLAB_15R7_CV947.POSST	QRLAA_13R7_PT961.POSST	QRLAA_13R7_PT991.POSST	QRLAB_15R7_TT947.POSST	QRLAA_13R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
15R7_943	ARC	78	LBARB_16R7_EH843.POSST	LBARB_16R7_TT843.POSST	QRLAB_15R7_CV943.POSST	QRLAA_17R7_PT961.POSST	QRLAA_17R7_PT991.POSST	QRLAB_15R7_TT943.POSST	QRLAA_17R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17R7_947	ARC	78	LQATH_16R7_EH847.POSST	LQATH_16R7_TT847.POSST	QRLAA_17R7_CV947.POSST	QRLAA_17R7_PT961.POSST	QRLAA_17R7_PT991.POSST	QRLAA_17R7_TT947.POSST	QRLAA_17R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
17R7_943	ARC	78	LBARB_18R7_EH843.POSST	LBARB_18R7_TT843.POSST	QRLAA_17R7_CV943.POSST	QRLAA_17R7_PT961.POSST	QRLAA_17R7_PT991.POSST	QRLAA_17R7_TT943.POSST	QRLAA_17R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19R7_947	ARC	78	LQATH_18R7_EH847.POSST	LQATH_18R7_TT847.POSST	QRLAB_19R7_CV947.POSST	QRLAA_17R7_PT961.POSST	QRLAA_17R7_PT991.POSST	QRLAB_19R7_TT947.POSST	QRLAA_17R7_TT961.POSST	4.900000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
19R7_943	ARC	78	LBARB_20R7_EH843.POSST	LBARB_20R7_TT843.POSST	QRLAB_19R7_CV943.POSST	QRLAA_21R7_PT961.POSST	QRLAA_21R7_PT991.POSST	QRLAB_19R7_TT943.POSST	QRLAA_21R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21R7_947	ARC	78	LQATH_20R7_EH847.POSST	LQATH_20R7_TT847.POSST	QRLAA_21R7_CV947.POSST	QRLAA_21R7_PT961.POSST	QRLAA_21R7_PT991.POSST	QRLAA_21R7_TT947.POSST	QRLAA_21R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
21R7_943	ARC	78	LBARB_22R7_EH843.POSST	LBARB_22R7_TT843.POSST	QRLAA_21R7_CV943.POSST	QRLAA_21R7_PT961.POSST	QRLAA_21R7_PT991.POSST	QRLAA_21R7_TT943.POSST	QRLAA_21R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23R7_947	ARC	78	LQOAG_22R7_EH847.POSST	LQOAG_22R7_TT847.POSST	QRLAB_23R7_CV947.POSST	QRLAA_21R7_PT961.POSST	QRLAA_21R7_PT991.POSST	QRLAB_23R7_TT947.POSST	QRLAA_21R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
23R7_943	ARC	78	LBARB_24R7_EH843.POSST	LBARB_24R7_TT843.POSST	QRLAB_23R7_CV943.POSST	QRLAA_25R7_PT961.POSST	QRLAA_25R7_PT991.POSST	QRLAB_23R7_TT943.POSST	QRLAA_25R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25R7_947	ARC	78	LQOAG_24R7_EH847.POSST	LQOAG_24R7_TT847.POSST	QRLAA_25R7_CV947.POSST	QRLAA_25R7_PT961.POSST	QRLAA_25R7_PT991.POSST	QRLAA_25R7_TT947.POSST	QRLAA_25R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
25R7_943	ARC	78	LBARB_26R7_EH843.POSST	LBARB_26R7_TT843.POSST	QRLAA_25R7_CV943.POSST	QRLAA_25R7_PT961.POSST	QRLAA_25R7_PT991.POSST	QRLAA_25R7_TT943.POSST	QRLAA_25R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27R7_947	ARC	78	LQOAG_26R7_EH847.POSST	LQOAG_26R7_TT847.POSST	QRLAB_27R7_CV947.POSST	QRLAA_25R7_PT961.POSST	QRLAA_25R7_PT991.POSST	QRLAB_27R7_TT947.POSST	QRLAA_25R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
27R7_943	ARC	78	LBARB_28R7_EH843.POSST	LBARB_28R7_TT843.POSST	QRLAB_27R7_CV943.POSST	QRLAA_29R7_PT961.POSST	QRLAA_29R7_PT991.POSST	QRLAB_27R7_TT943.POSST	QRLAA_29R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29R7_947	ARC	78	LQOAG_28R7_EH847.POSST	LQOAG_28R7_TT847.POSST	QRLAA_29R7_CV947.POSST	QRLAA_29R7_PT961.POSST	QRLAA_29R7_PT991.POSST	QRLAA_29R7_TT947.POSST	QRLAA_29R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29R7_943	ARC	78	LBARB_30R7_EH843.POSST	LBARB_30R7_TT843.POSST	QRLAA_29R7_CV943.POSST	QRLAA_29R7_PT961.POSST	QRLAA_29R7_PT991.POSST	QRLAA_29R7_TT943.POSST	QRLAA_29R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31R7_947	ARC	78	LQOAM_30R7_EH847.POSST	LQOAM_30R7_TT847.POSST	QRLAC_31R7_CV947.POSST	QRLAA_29R7_PT961.POSST	QRLAA_29R7_PT991.POSST	QRLAC_31R7_TT947.POSST	QRLAA_29R7_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31R7_943	ARC	78	LBARB_32R7_EH843.POSST	LBARB_32R7_TT843.POSST	QRLAC_31R7_CV943.POSST	QRLAA_33L8_PT961.POSST	QRLAA_33L8_PT991.POSST	QRLAC_31R7_TT943.POSST	QRLAA_33L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33R7_947	ARC	78	LQOAG_32R7_EH847.POSST	LQOAG_32R7_TT847.POSST	QRLAD_33R7_CV947.POSST	QRLAA_33L8_PT961.POSST	QRLAA_33L8_PT991.POSST	QRLAD_33R7_TT947.POSST	QRLAA_33L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33R7_943	ARC	78	LBARB_34R7_EH843.POSST	LBARB_34R7_TT843.POSST	QRLAD_33R7_CV943.POSST	QRLAA_33L8_PT961.POSST	QRLAA_33L8_PT991.POSST	QRLAD_33R7_TT943.POSST	QRLAA_33L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33L8_947	ARC	78	LQOAM_34R7_EH847.POSST	LQOAM_34R7_TT847.POSST	QRLAA_33L8_CV947.POSST	QRLAA_33L8_PT961.POSST	QRLAA_33L8_PT991.POSST	QRLAA_33L8_TT947.POSST	QRLAA_33L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
33L8_943	ARC	78	LBARB_33L8_EH843.POSST	LBARB_33L8_TT843.POSST	QRLAA_33L8_CV943.POSST	QRLAA_33L8_PT961.POSST	QRLAA_33L8_PT991.POSST	QRLAA_33L8_TT943.POSST	QRLAA_33L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31L8_947	ARC	78	LQOAM_32L8_EH847.POSST	LQOAM_32L8_TT847.POSST	QRLAB_31L8_CV947.POSST	QRLAA_33L8_PT961.POSST	QRLAA_33L8_PT991.POSST	QRLAB_31L8_TT947.POSST	QRLAA_33L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
31L8_943	ARC	78	LBARB_31L8_EH843.POSST	LBARB_31L8_TT843.POSST	QRLAB_31L8_CV943.POSST	QRLAA_29L8_PT961.POSST	QRLAA_29L8_PT991.POSST	QRLAB_31L8_TT943.POSST	QRLAA_29L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29L8_947	ARC	78	LQOAG_30L8_EH847.POSST	LQOAG_30L8_TT847.POSST	QRLAA_29L8_CV947.POSST	QRLAA_29L8_PT961.POSST	QRLAA_29L8_PT991.POSST	QRLAA_29L8_TT947.POSST	QRLAA_29L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
29L8_943	ARC	78	LBARB_29L8_EH843.POSST	LBARB_29L8_TT843.POSST	QRLAA_29L8_CV943.POSST	QRLAA_29L8_PT961.POSST	QRLAA_29L8_PT991.POSST	QRLAA_29L8_TT943.POSST	QRLAA_29L8_TT961.POSST	3.800000e+01	2.000000e+00	3.900000e-01	4.000000e+00	5.300000e+01
